region	mean_delta	ci95_low	ci95_high	positive_cases	cases
alpha	0.01337955750515928	-0.0008658072995103843	0.032257951249782715	11	20
beta	0.0034396638331934265	-0.006083623205965465	0.012186265697432476	14	20
ppii	-0.01632008235463224	-0.02664791215702272	-0.004329353239960195	2	20
left	0.03682480849928982	0.02726259915511485	0.04752029827505543	20	20
