case	seed	amber_mse_hz2	mechlib_mse_hz2	delta_mse_hz2
M2-GB3	2026092201	1.0204596046688053	1.011524793597198	0.008934811071607207
M2-GB3	2026092202	1.099476824251418	1.0171895366518227	0.08228728759959525
M2-GB3	2026092203	1.6399974024385588	1.0608958378414703	0.5791015645970885
M2-UBQ	2026092201	1.1722302046266688	1.0566843731253714	0.11554583150129738
M2-UBQ	2026092202	1.2459187654057662	1.176373173225091	0.06954559218067513
M2-UBQ	2026092203	1.1001066830938033	1.1997247800529622	-0.09961809695915891
