case	arm	seed	chunk	mse_hz2
M2-UBQ	AMBER_FIXED	2026092202	9	1.1702746765675438
M2-UBQ	AMBER_FIXED	2026092203	0	1.4967680679742772
M2-UBQ	AMBER_FIXED	2026092203	1	1.3519427051894797
M2-UBQ	AMBER_FIXED	2026092203	2	1.5095878449156022
M2-UBQ	AMBER_FIXED	2026092203	3	1.1768166808077398
M2-UBQ	AMBER_FIXED	2026092203	4	1.129004245684087
M2-UBQ	AMBER_FIXED	2026092203	5	1.4282432437823096
M2-UBQ	AMBER_FIXED	2026092203	6	1.2496177768284606
M2-UBQ	AMBER_FIXED	2026092203	7	1.55928186209061
M2-UBQ	AMBER_FIXED	2026092203	8	1.0127963039475862
M2-UBQ	AMBER_FIXED	2026092203	9	1.003211789469206
M2-UBQ	AMBER_MECHLIB_V1	2026092201	0	1.292536917425566
M2-UBQ	AMBER_MECHLIB_V1	2026092201	1	1.2031940134614223
M2-UBQ	AMBER_MECHLIB_V1	2026092201	2	1.3065481016152145
M2-UBQ	AMBER_MECHLIB_V1	2026092201	3	1.3532861690268116
M2-UBQ	AMBER_MECHLIB_V1	2026092201	4	0.9537263699142028
M2-UBQ	AMBER_MECHLIB_V1	2026092201	5	1.300333900953395
M2-UBQ	AMBER_MECHLIB_V1	2026092201	6	1.3087110514775586
M2-UBQ	AMBER_MECHLIB_V1	2026092201	7	1.4469599394305166
M2-UBQ	AMBER_MECHLIB_V1	2026092201	8	1.4949280819582433
M2-UBQ	AMBER_MECHLIB_V1	2026092201	9	1.336186326384534
M2-UBQ	AMBER_MECHLIB_V1	2026092202	0	1.3477693468665057
M2-UBQ	AMBER_MECHLIB_V1	2026092202	1	1.5945082884396882
M2-UBQ	AMBER_MECHLIB_V1	2026092202	2	1.263786675239993
M2-UBQ	AMBER_MECHLIB_V1	2026092202	3	1.2472316823415903
M2-UBQ	AMBER_MECHLIB_V1	2026092202	4	1.2598591054043289
M2-UBQ	AMBER_MECHLIB_V1	2026092202	5	1.4927289229072884
M2-UBQ	AMBER_MECHLIB_V1	2026092202	6	1.3904393455444275
M2-UBQ	AMBER_MECHLIB_V1	2026092202	7	1.3019029922139924
M2-UBQ	AMBER_MECHLIB_V1	2026092202	8	1.3173738917627245
M2-UBQ	AMBER_MECHLIB_V1	2026092202	9	1.544631845564851
M2-UBQ	AMBER_MECHLIB_V1	2026092203	0	1.2914389891653861
M2-UBQ	AMBER_MECHLIB_V1	2026092203	1	1.4856840105165228
M2-UBQ	AMBER_MECHLIB_V1	2026092203	2	1.4030766722186807
M2-UBQ	AMBER_MECHLIB_V1	2026092203	3	1.5556878033701076
M2-UBQ	AMBER_MECHLIB_V1	2026092203	4	1.4247642617827705
M2-UBQ	AMBER_MECHLIB_V1	2026092203	5	1.4919510359043011
M2-UBQ	AMBER_MECHLIB_V1	2026092203	6	1.4748723787338929
M2-UBQ	AMBER_MECHLIB_V1	2026092203	7	1.4864309069317112
M2-UBQ	AMBER_MECHLIB_V1	2026092203	8	1.3519426240375962
M2-UBQ	AMBER_MECHLIB_V1	2026092203	9	1.4237807266004086
